title,address,distance,link,beds,baths,price,sqft,availability,lease_terms,amenities
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
The Bennett,"8005 Russell Rd, Charlottesville, VA 22903",0.5 miles to UVa,https://offgroundshousing.student.virginia.edu/housing/property/the-bennett/krp5ngb,,,,,,"12 month lease, 3 Month lease, 6 Month lease, 8 Month, 9 month lease, Flexible/Other lease, Short-Term lease","Clubhouse, Community Lounge, Elevator, Fitness Room, Full-time Maintenance Staff, Manager on Site, Outdoor Rec Space, Pool, Property Manager On-Site, Walking/Jogging Trails, Furnished, Kitchen, Patio, Balcony, Porch or Deck, Refrigerator, Stove, Balconies in select residences*, EV Car Charging Stations, Full size GE™ washer/dryer, Golf Simulator, Micromarket, Outdoor social spaces with fire pits, hammocks, trellis swings and amphitheater seating, Pickleball Court, Stainless steel GE appliances, Tot lots, Two clubhouses with co-working lounges, Two resort-style swimming pools and grilling stations, Two state-of-the-art fitness centers and yoga studios, Walking trails with on-property access to Rivanna Trail"
